"Depth" "Time" "X_1" "X_2" "Obs"
32 -762596.906242571 -1 -1.5 3.39651535834585
31.9 -759376.567074289 -0.895113240501327 -2.03032874226366 3.36038670254391
31.8 -756657.829475568 -0.624038699297201 -1.86544872542816 3.83857226814852
31.7 -755889.558633197 -0.570368419851586 -1.9243049170566 3.82039583131882
31.6 -751912.86479961 -0.435923491983819 -1.86757718676256 4.02946252348769
31.5 -750716.6150576 -0.405953531640559 -1.99916883423323 3.89075453406748
31.4 -748823.97163785 -0.28424615613904 -1.725744900652 3.93288886562494
31.3 -748381.065416978 -0.251143676607882 -1.75855612925761 4.00341257232368
31.2 -745786.641516146 -0.185241446037288 -1.91070548971423 3.99492893231674
31.1 -745268.083613063 -0.232911320453902 -1.87307883367529 3.98675814705772
31 -743658.146874324 -0.320138985785891 -1.82903892099799 4.05103916499223
30.9 -738937.372032966 -0.096618049604981 -1.75352418594914 4.06612697588929
30.8 -728047.340536282 0.00253862849065403 -1.64188503564815 4.23975497891534
30.7 -726438.569481773 0.0678021994685411 -1.6284425922506 4.2654772775583
30.6 -724121.750609566 0.115073230432565 -1.58403087542618 4.28625200649033
30.5 -722921.207397524 0.070230999507522 -1.7170038432485 4.06108071019881
30.4 -721618.227483687 -0.0459533047262818 -1.79944777935444 4.21205905620373
30.3 -720989.746357657 -0.0925094157040704 -1.90478896571805 4.10700995925306
30.2 -719035.211270787 0.122907272063928 -1.8250961682779 4.53381440279261
30.1 -718307.59302692 0.187992707778262 -1.75934311212434 4.34194253438165
30 -712700.442191601 0.532185216222234 -1.12139309166824 4.72118115746045
29.9 -712124.097614282 0.585397622900139 -1.29851487930422 4.68056740617462
29.8 -710560.79787691 0.620980480514402 -1.18156898750247 4.61807572526618
29.7 -707858.073017836 0.622555499639375 -1.32472522434733 4.71069412194185
29.6 -707150.567159285 0.689450216060562 -1.19295758346715 4.79249766459006
29.5 -705821.4486528 0.581454600604845 -1.11696270462679 4.63798194578013
29.4 -704840.425299706 0.580698858604708 -1.03342860311458 4.55197498330642
29.3 -702728.83987693 0.584656744361387 -1.08647103045274 4.84313175800614
29.2 -698158.120011701 0.640986847320689 -1.32030837001278 4.66322281184672
29.1 -694566.310121481 0.525665639035763 -1.23371422937528 4.57723560239253
29 -692461.699834948 0.648805020403804 -1.24480476515238 4.58577128430507
