"Depth" "Time" "X_1" "X_2" "Obs"
28.9 -713362.268662571 0.606978032336183 -0.978589697292728 4.48469365621353
28.8 -711857.902916085 0.512404757055138 -1.20510271627416 4.56252859441516
28.7 -708718.51751194 0.702686025965059 -1.46307648386858 4.82416306935189
28.6 -708006.753517463 0.7492764113014 -1.44052999394614 4.82935529436356
28.5 -705000.473427562 0.712000377723179 -1.2446425808377 4.62254330519987
28.4 -704055.782672373 0.719987520585577 -1.07342773489986 4.77650711356116
28.3 -699436.070562951 0.402117669563509 -0.963389270574714 4.562342951149
28.2 -697530.241161236 0.439005080209055 -1.26499614209837 4.5588725304785
28.1 -696640.820895385 0.440827391874186 -1.32462394308508 4.38286270705534
28 -688415.201047915 0.142935692832864 -1.48601951453469 4.40268184742734
27.9 -687581.335690731 0.200064516798166 -1.69632599350854 4.45282325333567
27.8 -686506.958945992 0.303791671709284 -1.6237648547038 4.3838977172203
27.7 -685261.249171635 0.374633480180163 -1.65505192618337 4.51437513839616
27.6 -684538.103446286 0.435299150347355 -1.62469718740273 4.69317860215231
27.5 -681415.618678592 0.675732167213847 -1.23594368849096 4.76404703421744
27.4 -676469.51773523 0.735769355888265 -0.598821252810264 4.82979080676252
27.3 -675368.799156099 0.671851865108119 -0.297063578793852 4.84628697971124
27.2 -675211.78910261 0.685679584304734 -0.263403032466426 4.87318128587728
27.1 -670792.668122181 -0.0449885556639094 1.67424290796619 4.2684864329634
27 -669165.566836315 -0.407718443605854 1.55581947884024 4.04586937214099
26.9 -667741.87604912 -0.560387280120627 1.67714649436363 3.86321339016703
26.8 -667474.145124799 -0.554164885012949 1.74848176337693 3.80037113977368
26.7 -664708.978991254 -0.967847678253671 1.45769970050223 3.39909541286439
26.6 -657955.151166241 -1.02756275685553 -2.14899994578047 3.44851877983036
26.5 -656446.940537144 -0.905044479415897 -2.10240504665975 3.42001678345969
26.4 -654860.442447424 -0.885412029356361 -2.11013721939482 3.53188077236403
26.3 -651222.587999009 -0.780486399872779 -1.96255014791154 3.40452922998859
26.2 -648618.787200082 -0.872538256406772 -2.01889620742195 3.32814094133247
26.1 -644141.637539593 -0.66853966707431 -2.17144571450439 3.51474274313174
26 -643607.08879096 -0.561107073802032 -2.08718021793226 3.81703280751156
25.9 -634826.423429806 -0.18425405038583 -1.69243730816404 4.14445493078687
25.8 -633362.639152516 -0.10696089245131 -1.84512748477047 4.01321429723017
25.7 -630065.815996823 0.0386784526326169 -1.53754693877429 4.1965150765234
25.6 -629476.007498264 0.0242630521578663 -1.5379697328413 4.18984492049073
25.5 -628356.662416107 0.158831021891643 -1.94599329247075 4.41823042368766
25.4 -627550.102732895 0.111067505841438 -1.73852488604898 4.41127672046159
25.3 -626325.578749772 -0.0408980778236599 -1.61391230348344 4.18443951116772
25.2 -620866.971798285 -0.494909915240797 -1.97426633567435 3.87497587672743
25.1 -619721.915666428 -0.47248852538187 -1.88242290884898 3.83145682123509
25 -617644.246343861 -0.579888973626548 -2.04536685346293 3.62189325916121
24.9 -616349.174079016 -0.670951355660453 -2.11943878806379 3.61796568007155
24.8 -610533.330625243 -0.392809900701797 -1.93851008047185 3.93865476504356
24.7 -605581.413070843 -0.236524347801011 -1.90759866482079 4.0910055553933
24.6 -601687.010768446 -0.082610477184232 -1.75896180005287 3.97985852870602
24.5 -600484.01089491 0.0335367627482742 -1.76029976047394 4.36202480544407
24.4 -599574.468501813 0.102681927025139 -1.707098618659 4.08539755615008
24.3 -598107.525397437 0.138571032115022 -1.54681535535113 4.3929770991907
24.2 -586297.642183439 0.816158133323325 -1.05860681200862 4.78216844064082
24.1 -585926.246362384 0.805318965654785 -1.04336281352749 4.89701805450645
24 -584801.423697796 0.710114841193738 -1.22596910127537 4.91063117202151
23.9 -582604.581478358 0.63796275328049 -1.12848772416361 4.81042190097939
23.8 -581629.59265331 0.52865976198547 -0.879849637854222 4.6366422666357
23.7 -580336.854423448 0.486285771489048 -1.19302770788587 4.57914858237862
23.6 -578503.65365709 0.18363195456967 -1.46772256264517 4.46754931570576
23.5 -574613.111926547 0.0753793514322077 -1.80797610102008 4.31430695431253
23.4 -569746.338244246 0.164702352143631 -1.63887733814932 4.43474605765664
23.3 -569263.840583842 0.128440452191568 -1.72408115675345 4.17613077513515
23.2 -567469.36545705 0.42123761034542 -1.63836606603447 4.52372257088123
23.1 -566528.061734805 0.54873210068366 -1.59527201128817 4.77128075582491
23 -560091.66570989 0.552322954655512 -0.930384007569022 4.69824595160448
22.9 -558752.058592905 0.662429988509024 -1.08849195023428 4.74752309469795
22.8 -556520.341807487 0.655514884209827 -0.996714649607758 4.55484305123365
22.7 -554802.906174453 0.633367952914653 -0.798410356371661 4.87303457250356
22.6 -553634.213740219 0.802203884042836 -0.78833875382614 4.85097280935638
22.5 -552309.008944421 0.626630881468486 -0.448730156459208 4.65593334655073
22.4 -551404.578328905 0.635402163181795 -0.413779062595048 4.83629414118252
22.3 -550169.345282136 0.519608833840865 0.299411324098081 4.74927753149876
22.2 -549536.545394235 0.528009592442755 0.554500005483657 4.73716560549122
22.1 -543426.487348386 -0.234657875964057 1.64430378932853 4.06798025425366
22 -540650.220816552 -0.618646280111055 1.45173288664876 3.73423144371813
21.9 -538957.488587348 -0.889684012529515 1.19245465603692 3.40955926081249
21.8 -535416.432401882 -1.27209511584044 0.00705632013684667 3.13716680300364
21.7 -534816.577821747 -1.30368856846289 -0.364311096496166 3.1002617224867
21.6 -533123.444801617 -1.15535192854042 -2.06628995756168 3.27672623732337
21.5 -530972.557201965 -1.04657870618484 -2.06855419457606 3.32967740123031
21.4 -528782.451546372 -0.787302628270786 -2.18105481243034 3.65100213903775
21.3 -527331.46293153 -0.807667855977778 -2.06728472479836 3.5826140095373
21.2 -524978.005532505 -0.726140104414289 -2.07233003488728 3.61987048355281
21.1 -520408.241948887 -0.499182533120048 -1.9745201263646 3.89133910995748
21 -510341.468534022 0.398561135525105 -1.4609920133015 4.62933744426886
20.9 -508165.218614389 0.398514550444071 -1.52489654084459 4.55817868025048
